timestamp_utc,git_commit,build_mode,agent,evaluator,evaluator_parameters,feature_configuration,search_depth,depth_definition,seed_partition,minimum_path_probability,time_limit_seconds,optimization_configuration,seed,score,moves,max_tile_exponent,max_tile,runtime_seconds,aggregate_search_total_nodes,aggregate_search_cache_hits
2026-08-23T06:18:07.190Z,unavailable,Release,H3-fixed,H3,empty_cells=270;monotonicity=47;smoothness=15;corner_preference=100;corner_chain=60;main_line=4;structural_stability=1;adverse_stuck=2;structural_displacement=2,H3:empty_cells+monotonicity+smoothness+corner_preference+corner_chain+main_line+structural_stability+adverse_stuck+structural_displacement,4,"depth counts player layers; depth 1 = player move, spawn, evaluator",quick-benchmark,0,0,none,20000,32392,1672,11,2048,77.842881415999997,5133839170,763055366
2026-08-23T06:18:07.190Z,unavailable,Release,H3-fixed,H3,empty_cells=270;monotonicity=47;smoothness=15;corner_preference=100;corner_chain=60;main_line=4;structural_stability=1;adverse_stuck=2;structural_displacement=2,H3:empty_cells+monotonicity+smoothness+corner_preference+corner_chain+main_line+structural_stability+adverse_stuck+structural_displacement,4,"depth counts player layers; depth 1 = player move, spawn, evaluator",quick-benchmark,0,0,none,20001,36632,1910,11,2048,99.165557167000003,5133839170,763055366
2026-08-23T06:18:07.190Z,unavailable,Release,H3-fixed,H3,empty_cells=270;monotonicity=47;smoothness=15;corner_preference=100;corner_chain=60;main_line=4;structural_stability=1;adverse_stuck=2;structural_displacement=2,H3:empty_cells+monotonicity+smoothness+corner_preference+corner_chain+main_line+structural_stability+adverse_stuck+structural_displacement,4,"depth counts player layers; depth 1 = player move, spawn, evaluator",quick-benchmark,0,0,none,20002,60648,2820,12,4096,127.90450358299999,5133839170,763055366
2026-08-23T06:18:07.190Z,unavailable,Release,H3-fixed,H3,empty_cells=270;monotonicity=47;smoothness=15;corner_preference=100;corner_chain=60;main_line=4;structural_stability=1;adverse_stuck=2;structural_displacement=2,H3:empty_cells+monotonicity+smoothness+corner_preference+corner_chain+main_line+structural_stability+adverse_stuck+structural_displacement,4,"depth counts player layers; depth 1 = player move, spawn, evaluator",quick-benchmark,0,0,none,20003,51424,2344,12,4096,113.98219033300001,5133839170,763055366
2026-08-23T06:18:07.190Z,unavailable,Release,H3-fixed,H3,empty_cells=270;monotonicity=47;smoothness=15;corner_preference=100;corner_chain=60;main_line=4;structural_stability=1;adverse_stuck=2;structural_displacement=2,H3:empty_cells+monotonicity+smoothness+corner_preference+corner_chain+main_line+structural_stability+adverse_stuck+structural_displacement,4,"depth counts player layers; depth 1 = player move, spawn, evaluator",quick-benchmark,0,0,none,20004,32584,1677,11,2048,84.157759374999998,5133839170,763055366
2026-08-23T06:18:07.190Z,unavailable,Release,H3-fixed,H3,empty_cells=270;monotonicity=47;smoothness=15;corner_preference=100;corner_chain=60;main_line=4;structural_stability=1;adverse_stuck=2;structural_displacement=2,H3:empty_cells+monotonicity+smoothness+corner_preference+corner_chain+main_line+structural_stability+adverse_stuck+structural_displacement,4,"depth counts player layers; depth 1 = player move, spawn, evaluator",quick-benchmark,0,0,none,20005,61936,2906,12,4096,126.809306667,5133839170,763055366
2026-08-23T06:18:07.190Z,unavailable,Release,H3-fixed,H3,empty_cells=270;monotonicity=47;smoothness=15;corner_preference=100;corner_chain=60;main_line=4;structural_stability=1;adverse_stuck=2;structural_displacement=2,H3:empty_cells+monotonicity+smoothness+corner_preference+corner_chain+main_line+structural_stability+adverse_stuck+structural_displacement,4,"depth counts player layers; depth 1 = player move, spawn, evaluator",quick-benchmark,0,0,none,20006,71588,3283,12,4096,138.43509333399999,5133839170,763055366
2026-08-23T06:18:07.190Z,unavailable,Release,H3-fixed,H3,empty_cells=270;monotonicity=47;smoothness=15;corner_preference=100;corner_chain=60;main_line=4;structural_stability=1;adverse_stuck=2;structural_displacement=2,H3:empty_cells+monotonicity+smoothness+corner_preference+corner_chain+main_line+structural_stability+adverse_stuck+structural_displacement,4,"depth counts player layers; depth 1 = player move, spawn, evaluator",quick-benchmark,0,0,none,20007,56824,2617,12,4096,118.450637125,5133839170,763055366
2026-08-23T06:18:07.190Z,unavailable,Release,H3-fixed,H3,empty_cells=270;monotonicity=47;smoothness=15;corner_preference=100;corner_chain=60;main_line=4;structural_stability=1;adverse_stuck=2;structural_displacement=2,H3:empty_cells+monotonicity+smoothness+corner_preference+corner_chain+main_line+structural_stability+adverse_stuck+structural_displacement,4,"depth counts player layers; depth 1 = player move, spawn, evaluator",quick-benchmark,0,0,none,20008,36312,1889,11,2048,100.313022,5133839170,763055366
2026-08-23T06:18:07.190Z,unavailable,Release,H3-fixed,H3,empty_cells=270;monotonicity=47;smoothness=15;corner_preference=100;corner_chain=60;main_line=4;structural_stability=1;adverse_stuck=2;structural_displacement=2,H3:empty_cells+monotonicity+smoothness+corner_preference+corner_chain+main_line+structural_stability+adverse_stuck+structural_displacement,4,"depth counts player layers; depth 1 = player move, spawn, evaluator",quick-benchmark,0,0,none,20009,59484,2742,12,4096,126.18506908400001,5133839170,763055366
