timestamp_utc,git_commit,build_mode,agent,evaluator,evaluator_parameters,feature_configuration,search_depth,depth_definition,seed_partition,minimum_path_probability,time_limit_seconds,optimization_configuration,seed,score,moves,max_tile_exponent,max_tile,runtime_seconds,aggregate_search_total_nodes,aggregate_search_cache_hits
2026-08-27T23:09:20.409Z,c392a9c,Release,N1-fixed,N1,,"N1:ntuple-td-learned:experiments/weights/n19_distill.bin:tuples=6+6+6+6+6,active=40,weights=83886080,hash=b84083b203f5f7",4,"depth counts player layers; depth 1 = player move, spawn, evaluator",custom,0.0015,0,none,30000,365296,13879,14,16384,40.070005959,12678402066,2407082998
2026-08-27T23:09:20.409Z,c392a9c,Release,N1-fixed,N1,,"N1:ntuple-td-learned:experiments/weights/n19_distill.bin:tuples=6+6+6+6+6,active=40,weights=83886080,hash=b84083b203f5f7",4,"depth counts player layers; depth 1 = player move, spawn, evaluator",custom,0.0015,0,none,30001,328768,12272,14,16384,88.940058332999996,12678402066,2407082998
2026-08-27T23:09:20.409Z,c392a9c,Release,N1-fixed,N1,,"N1:ntuple-td-learned:experiments/weights/n19_distill.bin:tuples=6+6+6+6+6,active=40,weights=83886080,hash=b84083b203f5f7",4,"depth counts player layers; depth 1 = player move, spawn, evaluator",custom,0.0015,0,none,30002,356376,13394,14,16384,39.571621667000002,12678402066,2407082998
2026-08-27T23:09:20.409Z,c392a9c,Release,N1-fixed,N1,,"N1:ntuple-td-learned:experiments/weights/n19_distill.bin:tuples=6+6+6+6+6,active=40,weights=83886080,hash=b84083b203f5f7",4,"depth counts player layers; depth 1 = player move, spawn, evaluator",custom,0.0015,0,none,30003,380728,14469,14,16384,33.636245166999998,12678402066,2407082998
2026-08-27T23:09:20.409Z,c392a9c,Release,N1-fixed,N1,,"N1:ntuple-td-learned:experiments/weights/n19_distill.bin:tuples=6+6+6+6+6,active=40,weights=83886080,hash=b84083b203f5f7",4,"depth counts player layers; depth 1 = player move, spawn, evaluator",custom,0.0015,0,none,30004,529660,18430,15,32768,48.078714542,12678402066,2407082998
2026-08-27T23:09:20.409Z,c392a9c,Release,N1-fixed,N1,,"N1:ntuple-td-learned:experiments/weights/n19_distill.bin:tuples=6+6+6+6+6,active=40,weights=83886080,hash=b84083b203f5f7",4,"depth counts player layers; depth 1 = player move, spawn, evaluator",custom,0.0015,0,none,30005,343368,13125,14,16384,42.423245291999997,12678402066,2407082998
2026-08-27T23:09:20.409Z,c392a9c,Release,N1-fixed,N1,,"N1:ntuple-td-learned:experiments/weights/n19_distill.bin:tuples=6+6+6+6+6,active=40,weights=83886080,hash=b84083b203f5f7",4,"depth counts player layers; depth 1 = player move, spawn, evaluator",custom,0.0015,0,none,30006,339048,12838,14,16384,31.575955749999999,12678402066,2407082998
2026-08-27T23:09:20.409Z,c392a9c,Release,N1-fixed,N1,,"N1:ntuple-td-learned:experiments/weights/n19_distill.bin:tuples=6+6+6+6+6,active=40,weights=83886080,hash=b84083b203f5f7",4,"depth counts player layers; depth 1 = player move, spawn, evaluator",custom,0.0015,0,none,30007,341268,12916,14,16384,38.718251041999999,12678402066,2407082998
2026-08-27T23:09:20.409Z,c392a9c,Release,N1-fixed,N1,,"N1:ntuple-td-learned:experiments/weights/n19_distill.bin:tuples=6+6+6+6+6,active=40,weights=83886080,hash=b84083b203f5f7",4,"depth counts player layers; depth 1 = player move, spawn, evaluator",custom,0.0015,0,none,30008,266704,10030,14,16384,27.083974874999999,12678402066,2407082998
2026-08-27T23:09:20.409Z,c392a9c,Release,N1-fixed,N1,,"N1:ntuple-td-learned:experiments/weights/n19_distill.bin:tuples=6+6+6+6+6,active=40,weights=83886080,hash=b84083b203f5f7",4,"depth counts player layers; depth 1 = player move, spawn, evaluator",custom,0.0015,0,none,30009,318324,11827,14,16384,31.467463082999998,12678402066,2407082998
