timestamp_utc,git_commit,build_mode,agent,evaluator,evaluator_parameters,feature_configuration,search_depth,depth_definition,seed_partition,minimum_path_probability,optimization_configuration,seed,score,moves,max_tile_exponent,max_tile,runtime_seconds,aggregate_search_total_nodes,aggregate_search_cache_hits
2026-08-18T20:17:56.390Z,unavailable,Release,baseline-optimized,baseline-heuristic-optimized,empty_cells=85.221621525239641;monotonicity=44.83062947862652;smoothness=43.676658929747916;corner_preference=28.751796341054963,"baseline-v1:empty-cells,monotonicity,smoothness,corner-preference",3,"depth counts player layers; depth 1 = player move, spawn, evaluator",validation,0,depth-3 deterministic multistage random search; candidate 9,10200,16200,957,10,1024,0.26492199999999999,3416638660,405783413
2026-08-18T20:17:56.390Z,unavailable,Release,baseline-optimized,baseline-heuristic-optimized,empty_cells=85.221621525239641;monotonicity=44.83062947862652;smoothness=43.676658929747916;corner_preference=28.751796341054963,"baseline-v1:empty-cells,monotonicity,smoothness,corner-preference",3,"depth counts player layers; depth 1 = player move, spawn, evaluator",validation,0,depth-3 deterministic multistage random search; candidate 9,10201,27956,1469,11,2048,0.36956404199999998,3416638660,405783413
2026-08-18T20:17:56.390Z,unavailable,Release,baseline-optimized,baseline-heuristic-optimized,empty_cells=85.221621525239641;monotonicity=44.83062947862652;smoothness=43.676658929747916;corner_preference=28.751796341054963,"baseline-v1:empty-cells,monotonicity,smoothness,corner-preference",3,"depth counts player layers; depth 1 = player move, spawn, evaluator",validation,0,depth-3 deterministic multistage random search; candidate 9,10202,27628,1456,11,2048,0.38472604199999999,3416638660,405783413
2026-08-18T20:17:56.390Z,unavailable,Release,baseline-optimized,baseline-heuristic-optimized,empty_cells=85.221621525239641;monotonicity=44.83062947862652;smoothness=43.676658929747916;corner_preference=28.751796341054963,"baseline-v1:empty-cells,monotonicity,smoothness,corner-preference",3,"depth counts player layers; depth 1 = player move, spawn, evaluator",validation,0,depth-3 deterministic multistage random search; candidate 9,10203,16384,981,10,1024,0.29709562499999997,3416638660,405783413
2026-08-18T20:17:56.390Z,unavailable,Release,baseline-optimized,baseline-heuristic-optimized,empty_cells=85.221621525239641;monotonicity=44.83062947862652;smoothness=43.676658929747916;corner_preference=28.751796341054963,"baseline-v1:empty-cells,monotonicity,smoothness,corner-preference",3,"depth counts player layers; depth 1 = player move, spawn, evaluator",validation,0,depth-3 deterministic multistage random search; candidate 9,10204,56620,2583,12,4096,0.59523512499999998,3416638660,405783413
2026-08-18T20:17:56.390Z,unavailable,Release,baseline-optimized,baseline-heuristic-optimized,empty_cells=85.221621525239641;monotonicity=44.83062947862652;smoothness=43.676658929747916;corner_preference=28.751796341054963,"baseline-v1:empty-cells,monotonicity,smoothness,corner-preference",3,"depth counts player layers; depth 1 = player move, spawn, evaluator",validation,0,depth-3 deterministic multistage random search; candidate 9,10205,34828,1806,11,2048,0.446533917,3416638660,405783413
2026-08-18T20:17:56.390Z,unavailable,Release,baseline-optimized,baseline-heuristic-optimized,empty_cells=85.221621525239641;monotonicity=44.83062947862652;smoothness=43.676658929747916;corner_preference=28.751796341054963,"baseline-v1:empty-cells,monotonicity,smoothness,corner-preference",3,"depth counts player layers; depth 1 = player move, spawn, evaluator",validation,0,depth-3 deterministic multistage random search; candidate 9,10206,32712,1703,11,2048,0.42319337499999998,3416638660,405783413
2026-08-18T20:17:56.390Z,unavailable,Release,baseline-optimized,baseline-heuristic-optimized,empty_cells=85.221621525239641;monotonicity=44.83062947862652;smoothness=43.676658929747916;corner_preference=28.751796341054963,"baseline-v1:empty-cells,monotonicity,smoothness,corner-preference",3,"depth counts player layers; depth 1 = player move, spawn, evaluator",validation,0,depth-3 deterministic multistage random search; candidate 9,10207,36616,1920,11,2048,0.474245417,3416638660,405783413
2026-08-18T20:17:56.390Z,unavailable,Release,baseline-optimized,baseline-heuristic-optimized,empty_cells=85.221621525239641;monotonicity=44.83062947862652;smoothness=43.676658929747916;corner_preference=28.751796341054963,"baseline-v1:empty-cells,monotonicity,smoothness,corner-preference",3,"depth counts player layers; depth 1 = player move, spawn, evaluator",validation,0,depth-3 deterministic multistage random search; candidate 9,10208,27636,1462,11,2048,0.39839816700000003,3416638660,405783413
2026-08-18T20:17:56.390Z,unavailable,Release,baseline-optimized,baseline-heuristic-optimized,empty_cells=85.221621525239641;monotonicity=44.83062947862652;smoothness=43.676658929747916;corner_preference=28.751796341054963,"baseline-v1:empty-cells,monotonicity,smoothness,corner-preference",3,"depth counts player layers; depth 1 = player move, spawn, evaluator",validation,0,depth-3 deterministic multistage random search; candidate 9,10209,15944,941,10,1024,0.27195766599999999,3416638660,405783413
